name,distance,distance_mi,moving_time,elapsed_time,total_elevation_gain,elevation_gain_ft,type,start_date,trainer,manual,gear_id,average_speed,avg_speed_mph,max_speed,max_speed_mph,average_cadence,average_watts,average_heartrate,max_heartrate,max_watts,average_temp
Team Poland: Bike Atelier - Group Ride (C),19985.2,12.41822755,1827,1827,82,269.02888,VirtualRide,2018-12-31T16:25:15Z,FALSE,FALSE,b1477130,10.939,24.46988666,15.5,34.67257,89.9,227.5,,,411,
10x:30x10+1,0,0,120,120,0,0,Workout,2018-12-31T11:00:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
Dunedin: ice cream walk,7065,4.389987473,5238,5581,15.4,50.524936,Ride,2018-12-30T22:24:09Z,FALSE,FALSE,b1477130,1.349,3.01763206,2.9,6.487126,,22.2,,,,
Our pool: kick and swim,914.4,0.568181818,1200,1200,0,0,Swim,2018-12-30T17:15:43Z,FALSE,TRUE,,0.762,1.70454828,0,0,,,,,,
Dunedin: through the park and back,3226.3,2.004729878,1080,1120,6.8,22.309712,Run,2018-12-30T17:00:53Z,FALSE,FALSE,g3154106,2.987,6.68173978,3.4,7.605596,82.5,,,,,
10x:15x5 + 1,0,0,90,90,0,0,Workout,2018-12-30T12:00:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
10x:20x10,0,0,120,120,0,0,Workout,2018-12-29T14:48:27Z,FALSE,TRUE,,0,0,0,0,,,,,,
RDB: variety ride,57299,35.60394794,7142,7388,106,347.76904,Ride,2018-12-29T12:58:31Z,FALSE,FALSE,b1395475,8.023,17.94696962,14.8,33.106712,,155.1,,,,22
FTB: easy cruising,21910,13.61424282,3665,3665,77,252.62468,Ride,2018-12-28T17:17:18Z,FALSE,FALSE,b2653090,5.978,13.37242732,10.8,24.158952,,209.7,,,,27
10x5x5,0,0,120,120,0,0,Workout,2018-12-28T09:46:58Z,FALSE,TRUE,,0,0,0,0,,,,,,
5x5x5,0,0,120,120,0,0,Workout,2018-12-27T20:04:27Z,FALSE,TRUE,,0,0,0,0,,,,,,
5x5x5,0,0,120,120,0,0,Workout,2018-12-27T20:03:36Z,FALSE,TRUE,,0,0,0,0,,,,,,
"FTB: hour of Hammock, hour of Pinellas",35544,22.08601766,7145,7563,151,495.40684,Ride,2018-12-27T16:52:15Z,FALSE,FALSE,b2653090,4.975,11.1287765,17,38.02798,,187.3,,,,24
MTB: mostly Pinellas wMTB for fun.,48354,30.04578263,6757,6969,127,416.66668,Ride,2018-12-26T16:49:01Z,FALSE,FALSE,b575984,7.156,16.00754264,12.4,27.738056,,258.8,,,,25
5x5x5,0,0,120,120,0,0,Workout,2018-12-25T20:04:54Z,FALSE,TRUE,,0,0,0,0,,,,,,
5x5x5,0,0,120,120,0,0,Workout,2018-12-24T20:04:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
Tour of London - Stage 2 (A),41699.8,25.91105444,4592,4592,506,1660.10504,VirtualRide,2018-12-23T10:10:17Z,FALSE,FALSE,b1477130,9.081,20.31365214,25.2,56.370888,80.4,219.9,,,413,
FTB: first ride from HOME,24303,15.10118408,3603,3904,75,246.063,Ride,2018-12-22T21:14:49Z,FALSE,FALSE,b2653090,6.745,15.0881603,9.6,21.474624,,240.2,,,,15
Dunedin: moving and unpacking,0,0,3600,3600,0,0,Workout,2018-12-22T11:33:00Z,FALSE,TRUE,,0,0,0,0,,,,,,
FTB: ride from Zwift,3366,2.091535433,756,756,20,65.6168,Ride,2018-12-21T18:44:54Z,FALSE,FALSE,b2653090,4.452,9.95885688,6.9,15.434886,,147.4,129.3,144,,18
Tour of London - Stage 5 (A),55033.7,34.19635578,5343,5343,278,912.07352,VirtualRide,2018-12-21T16:58:29Z,FALSE,FALSE,b1477130,10.3,23.040482,17.6,39.370144,77,210.7,165.2,179,433,
FTB: Ride to Zwift,3929,2.441367414,659,659,20,65.6168,Ride,2018-12-21T16:20:02Z,FALSE,FALSE,b2653090,5.962,13.33663628,9.4,21.027236,,223,,,,17
Dunedin: unpacking the Pod,0,0,3600,3600,0,0,Workout,2018-12-20T21:26:16Z,FALSE,TRUE,,0,0,0,0,,,,,,
FTB: easy cruisin on the fatty,17783,11.04984391,3028,10468,74,242.78216,Ride,2018-12-20T18:36:48Z,FALSE,FALSE,b2653090,5.873,13.13754862,10,22.3694,80,33,,,509,19
Tour of London - Stage 4 ,30439.6,18.91429054,3574,3598,411,1348.42524,VirtualRide,2018-12-19T15:02:17Z,FALSE,FALSE,b1477130,8.517,19.05201798,22.7,50.778538,78,206.6,166.6,178,413,
VPG: quick dumbbell upper body sets,0,0,460,460,0,0,WeightTraining,2018-12-18T17:35:08Z,FALSE,TRUE,,0,0,0,0,,,,,,
Dunedin: brick,1707.7,1.061115585,535,544,3.6,11.811024,Run,2018-12-18T17:22:58Z,FALSE,FALSE,g3154106,3.192,7.14031248,4,8.94776,,,,,,
Watopia,17892.8,11.11807047,1823,1823,94,308.39896,VirtualRide,2018-12-18T16:47:57Z,FALSE,FALSE,b1477130,9.815,21.9555661,14.8,33.106712,92.5,194.7,133.1,159,461,
Tour of London - Stage 3 (B),29651.3,18.42446363,2476,2476,116,380.57744,VirtualRide,2018-12-17T15:02:20Z,FALSE,FALSE,b1477130,11.975,26.7873565,16.9,37.804286,86.2,279.8,,,514,
FTB: Xmas ride,6574.8,4.085391315,2438,3861,8.1,26.574804,Ride,2018-12-15T21:29:43Z,FALSE,FALSE,b1477130,2.697,6.03302718,7,15.65858,,52.3,,,,
MTB: Starkey with Kevin,31149,19.35509127,6512,7038,41,134.51444,Ride,2018-12-15T13:06:48Z,FALSE,FALSE,b1477130,4.783,10.69928402,9.2,20.579848,,131.8,,,,18
"MTB: almost, like, real mtn biking.",16697,10.3750348,3165,4336,38,124.67192,Ride,2018-12-14T21:04:39Z,FALSE,FALSE,b575984,5.276,11.80209544,18.4,41.159696,,199.5,,,,23
MTB: from the bike shop - BMC IS SWEET AGAIN.,1809.9,1.124619721,331,338,5.4,17.716536,Ride,2018-12-14T19:31:35Z,FALSE,FALSE,b575984,5.468,12.23158792,8.5,19.01399,,167.3,,,,
Tour of London - Stage 1 (B),29689.9,18.44844856,2495,2495,104,341.20736,VirtualRide,2018-12-13T17:02:22Z,FALSE,FALSE,b1477130,11.9,26.619586,17.3,38.699062,85.3,264,171.8,181,636,
London,3167.7,1.968317526,639,639,90,295.2756,VirtualRide,2018-12-13T16:49:14Z,FALSE,FALSE,b1477130,4.957,11.08851158,15.2,34.001488,83.3,181.9,125.2,134,228,
London,27974,17.38223773,3634,3634,612,2007.87408,VirtualRide,2018-12-12T17:48:13Z,FALSE,FALSE,b1477130,7.698,17.21996412,22.3,49.883762,69.3,227.5,160.2,176,492,
LAFD: spin w/Jill @ 5:45 am !?!?,21887.1,13.60001342,3600,3600,0,0,Ride,2018-12-11T10:51:16Z,FALSE,TRUE,b534975,6.08,13.6005952,0,0,,,,,,
WBR 3 Laps Flat Race Reverse - WOW,31517.9,19.5843151,2612,2612,183,600.39372,VirtualRide,2018-12-10T21:15:17Z,FALSE,FALSE,b1477130,12.067,26.99315498,17.5,39.14645,83.3,292.8,168.4,176,496,
FTB: Starkey offroad with Kevin and Bob,39254,24.39130478,6523,6983,51,167.32284,Ride,2018-12-09T12:36:35Z,FALSE,FALSE,b2653090,6.018,13.46190492,9,20.13246,,196.7,,,,21
FTB: bringin' the fatty home,3777.4,2.347167542,797,820,11.7,38.385828,Ride,2018-12-08T20:59:25Z,FALSE,FALSE,b2653090,4.74,10.6030956,7.4,16.553356,,124.5,,,,
CXB: The Green Swamp wRick. Ouch.,48415,30.08368627,8453,9406,44,144.35696,Ride,2018-12-08T13:52:26Z,FALSE,FALSE,b1477130,5.728,12.81319232,8.8,19.685072,73.2,198.6,,,589,21
LAFD: swim and kick and pull and..,914.4,0.568181818,945,945,0,0,Swim,2018-12-08T01:39:26Z,FALSE,TRUE,,0.968,2.16535792,0,0,,,,,,
NYC,1643.3,1.02109928,496,500,0,0,VirtualRun,2018-12-08T00:48:16Z,FALSE,FALSE,g3154106,3.313,7.41098222,4.2,9.395148,84.9,,,,295,
"CXB: easy, like Friday at noon",40261,25.01702557,5384,5746,89,291.99476,Ride,2018-12-07T16:47:59Z,FALSE,FALSE,b1477130,7.478,16.72783732,10.2,22.816788,86.9,179.5,,,607,24
WBR 4 Flat Lap #pst C,24156.2,15.00996679,2206,2206,160,524.9344,VirtualRide,2018-12-06T17:15:22Z,FALSE,FALSE,b1477130,10.95,24.494493,17.2,38.475368,80.8,230.2,167.6,175,438,
Watopia,4818.9,2.994325638,612,612,22,72.17848,VirtualRide,2018-12-06T17:03:30Z,FALSE,FALSE,b1477130,7.874,17.61366556,13.6,30.422384,79.5,143,111.3,136,261,
Dunedin: dumbell mania,0,0,702,702,0,0,WeightTraining,2018-12-05T17:39:56Z,FALSE,TRUE,,0,0,0,0,,,,,,
"LAFD: spin, spin, spun",24220.6,15.0499831,3600,3600,0,0,Ride,2018-12-05T11:00:00Z,FALSE,TRUE,b534975,6.728,15.05013232,0,0,,,,,,
Dunedin: home from Cafe Racer,1532.8,0.952437763,942,942,8,26.24672,Walk,2018-12-03T15:16:09Z,FALSE,FALSE,g3154106,1.627,3.63950138,2.8,6.263432,,,,,,
MTB: to the bike shop,2063.2,1.282013044,604,964,0,0,Ride,2018-12-03T14:59:09Z,FALSE,FALSE,b575984,3.416,7.64138704,6.3,14.092722,,94.6,,,,
Dunedin: breaking in the pool and my tether.,548.6,0.340884236,607,607,0,0,Swim,2018-12-02T20:17:13Z,FALSE,TRUE,,0.904,2.02219376,0,0,,,,,,
SCC Sunday: more than I bargained for.,61798,38.39949694,7483,9359,211,692.25724,Ride,2018-12-02T13:06:15Z,FALSE,FALSE,b1477130,8.258,18.47265052,15.3,34.225182,,256.5,148.5,173,,27
CXB: SCC Saturday Crue!,80706,50.14838344,10388,12495,180,590.5512,Ride,2018-12-01T13:11:36Z,FALSE,FALSE,b1477130,7.769,17.37878686,14.6,32.659324,82.8,181.9,145.9,182,896,24
Top-end Tuning,16840.8,10.46438797,2627,2627,148,485.56432,VirtualRide,2018-11-30T20:10:34Z,FALSE,FALSE,b1477130,6.411,14.34102234,13,29.08022,74.3,184.3,152.1,179,684,
Innsbruck,2911.6,1.809184363,379,379,14,45.93176,VirtualRide,2018-11-30T19:59:08Z,FALSE,FALSE,b1477130,7.682,17.18417308,11,24.60634,62.5,107.4,119.1,128,175,
ZHR Hare & Hounds Race (B) Trash,12639.6,7.853883321,1223,1332,100,328.084,VirtualRide,2018-11-30T19:24:22Z,FALSE,FALSE,b1477130,10.335,23.1187749,17,38.02798,81.4,235.2,169.2,175,442,
Innsbruck,10626.1,6.602752426,1205,1205,83,272.30972,VirtualRide,2018-11-30T19:00:51Z,FALSE,FALSE,b1477130,8.818,19.72533692,17.6,39.370144,84.1,168.4,127.3,156,447,
HGVLP: day 2,0,0,583,583,0,0,Run,2018-11-29T14:24:35Z,FALSE,TRUE,g3154106,0,0,0,0,,,,,,
HGVLP: power hour,27358.9,17.00003231,3600,3600,0,0,Ride,2018-11-29T13:21:35Z,FALSE,TRUE,b521467,7.6,17.000744,0,0,,,,,,
HGVLP: quick dumbell workout,0,0,551,551,0,0,WeightTraining,2018-11-26T13:44:32Z,FALSE,TRUE,,0,0,0,0,,,,,,
HGVLP: why not?,1609.4,1.000034797,597,597,0,0,Run,2018-11-26T13:31:21Z,FALSE,TRUE,g3154106,2.696,6.03079024,0,0,,,,,,
HGV Las Palmeras: recumbent fun,17702.8,11.00000994,2700,2700,0,0,Ride,2018-11-26T12:35:58Z,FALSE,TRUE,b521467,6.557,14.66761558,0,0,,,,,,
"RDB: SCC - too much ""mouth""",50582,31.43019765,6980,8320,120,393.7008,Ride,2018-11-24T12:57:23Z,FALSE,FALSE,b1477130,7.247,16.21110418,12.8,28.632832,,214.2,,,,24
RDB: Turkey burn!,75926,47.17822914,9318,10917,217,711.94228,Ride,2018-11-23T13:01:26Z,FALSE,FALSE,b1395475,8.148,18.22658712,13,29.08022,,169,,,,23
RDB: SCC Gobble Gobble Go!,71041,44.14283087,8283,9602,223,731.62732,Ride,2018-11-22T13:10:17Z,FALSE,FALSE,b1395475,8.577,19.18623438,15.4,34.448876,,187.9,,,,18
WBR 6 Laps Volcano Circuit Race - B FAIL,30518.2,18.96313032,3012,3012,156,511.81104,VirtualRide,2018-11-20T21:05:14Z,FALSE,FALSE,b1477130,10.132,22.66467608,16.1,36.014734,80.7,231.1,160.3,173,487,
Watopia,2706.6,1.681803269,312,312,9,29.52756,VirtualRide,2018-11-20T20:54:48Z,FALSE,FALSE,b1477130,8.675,19.4054545,13,29.08022,88.6,151.8,112.3,123,216,
To Dodge's and back,2896.8,1.79998807,1560,1560,0,0,Walk,2018-11-20T12:09:12Z,FALSE,TRUE,g3154106,1.857,4.15399758,0,0,,,,,,
ODivaZ 2.2 Ride (D),32148.1,19.97590323,3164,3164,193,633.20212,VirtualRide,2018-11-19T23:00:36Z,FALSE,FALSE,b1477130,10.161,22.72954734,17.5,39.14645,72.3,191,,,575,
CXB: to/from Dunedin,10066.4,6.25497097,1559,1739,15.5,50.85302,Ride,2018-11-19T21:07:04Z,FALSE,FALSE,b1477130,6.457,14.44392158,9.3,20.803542,,156.3,,,,
LAFD: first swim in quite a while,548.6,0.340884236,560,560,0,0,Swim,2018-11-18T15:28:19Z,FALSE,TRUE,,0.98,2.1922012,0,0,,,,,,
LAFD: spin with Jill,33796.3,21.00004722,4200,4200,0,0,Ride,2018-11-18T14:26:43Z,FALSE,TRUE,b534975,8.047,18.00065618,0,0,,,,,,
CXB: SCC Crue!,66024,41.0254116,9107,11998,125,410.105,Ride,2018-11-17T13:08:28Z,FALSE,FALSE,b1477130,7.25,16.217815,12.2,27.290668,82.2,182,77.1,106,717,18
WBR 6 Laps LaGuardia Loop Reverse Race (19.1km 162m) (C),19266.1,11.97139953,1714,1714,187,613.51708,VirtualRide,2018-11-16T21:05:22Z,FALSE,FALSE,b1477130,11.24,25.1432056,19,42.50186,76.8,272,168.7,176,417,
NYC,10771.3,6.692975523,1501,1501,180,590.5512,VirtualRide,2018-11-16T20:36:37Z,FALSE,FALSE,b1477130,7.176,16.05228144,18.8,42.054472,82.5,170.2,126.1,155,519,
Team Italy Specialissima Race  (C),37491.5,23.29613805,3374,3374,149,488.84516,VirtualRide,2018-11-15T17:40:14Z,FALSE,FALSE,b1477130,11.112,24.85687728,15.4,34.448876,83.8,250.2,165.9,176,439,
Watopia,4800.8,2.98307882,603,603,22,72.17848,VirtualRide,2018-11-15T17:28:52Z,FALSE,FALSE,b1477130,7.962,17.81051628,13.1,29.303914,84.5,132.9,113.4,126,197,
WBR 1 Lap Volcano Flat Race (11.9km/7.4mi) (C),12700.1,7.891476279,1098,1098,49,160.76116,VirtualRide,2018-11-14T14:35:21Z,FALSE,FALSE,b1477130,11.567,25.87468498,15.8,35.343652,84.5,263.7,170.1,180,449,
"Dubai Roadsters Club ride, Powered by Wolfi's Bike Shop Dubai (E)",36323.7,22.57050078,3595,3595,201,659.44884,VirtualRide,2018-11-13T15:00:20Z,FALSE,FALSE,b1477130,10.104,22.60204176,15,33.5541,85.7,186,150.7,175,357,
CXB: summertime cruisin,32205,20.01125925,4564,4927,132,433.07088,Ride,2018-11-12T20:06:07Z,FALSE,FALSE,b1477130,7.056,15.78384864,17.2,38.475368,78.6,190.7,,,674,29
LAFLivonia North: long spin with Jill.,53108.5,33.00009196,6300,6300,0,0,Ride,2018-11-11T13:43:55Z,FALSE,TRUE,b534975,8.43,18.8574042,0,0,,,,,,
Sprint Leadouts,18245.9,11.33747664,2764,2764,66,216.53544,VirtualRide,2018-11-08T13:40:22Z,FALSE,FALSE,b1477130,6.601,14.76604094,10.5,23.48787,77.9,185.2,152.5,182,588,
Sydkysten Cycling - Carl Ras Race (D),16849,10.46948322,1954,2034,271,889.10764,VirtualRide,2018-11-07T16:30:18Z,FALSE,FALSE,b1477130,8.623,19.28913362,19.1,42.725554,81.8,217.7,,,429,
WBR 2 Lap Astoria Line 8 Race (C) 10 miles,16120.3,10.01669003,1509,1645,187,613.51708,VirtualRide,2018-11-06T22:05:13Z,FALSE,FALSE,b1477130,10.683,23.89723002,19.2,42.949248,82,253,,,460,
"CXB: Recovery, like real recovery",32967,20.48474409,4197,4357,64,209.97376,Ride,2018-11-06T15:29:59Z,FALSE,FALSE,b1477130,7.855,17.5711637,10.4,23.264176,92.4,203.3,,,613,28
WBR 1 Lap Figure 8 Hilly Race - 35:00,21727.4,13.50078044,2116,2332,153,501.96852,VirtualRide,2018-11-05T16:10:26Z,FALSE,FALSE,b1477130,10.268,22.96889992,18.7,41.830778,85,231.6,,,357,
Watopia,2970.8,1.845969538,333,333,15,49.2126,VirtualRide,2018-11-05T15:59:56Z,FALSE,FALSE,b1477130,8.921,19.95574174,13.4,29.974996,74.4,201.8,,,338,
RDB: SCC Sunday,57284,35.59462738,7006,8463,175,574.147,Ride,2018-11-04T12:48:37Z,FALSE,FALSE,b1395475,8.176,18.28922144,18.6,41.607084,,181.8,,,,23
Tour of New York - Stage 1,31239.7,19.41144963,3452,3452,561,1840.55124,VirtualRide,2018-11-03T14:00:20Z,FALSE,FALSE,b1477130,9.05,20.244307,20.7,46.304658,77.7,249.2,,,459,
WBR 1 Flat Lap #pst C - startup training,10331.7,6.419820747,1058,1103,112,367.45408,VirtualRide,2018-11-02T13:15:11Z,FALSE,FALSE,b1477130,9.765,21.8437191,19.4,43.396636,73.6,213,,,465,
NYC - warm up,5636,3.502048039,767,767,129,423.22836,VirtualRide,2018-11-02T12:57:33Z,FALSE,FALSE,b1477130,7.348,16.43703512,17.2,38.475368,86.2,235.7,,,429,
NYC: SoulCycle three days in a row is not easy.,22530.8,13.99999006,3000,3000,0,0,Ride,2018-11-01T11:00:00Z,FALSE,TRUE,b534975,7.51,16.7994194,0,0,,,,,,
NYC: SoulCycle II,22530.8,13.99999006,3000,3000,0,0,Ride,2018-10-31T23:10:00Z,FALSE,TRUE,b534975,7.51,16.7994194,0,0,,,,,,
"NYC: SoulCycle - not bad, but not Peloton",22530.8,13.99999006,3000,3000,0,0,Ride,2018-10-30T23:40:00Z,FALSE,TRUE,b534975,7.51,16.7994194,0,0,,,,,,
NYC: run from work - hotel - SoulCycle,1609.3,0.99997266,540,540,0,0,Run,2018-10-30T23:40:00Z,FALSE,TRUE,g3154106,2.98,6.6660812,0,0,,,,,,
NYC: walk from downtown to mid town,8046.7,4.999987573,4500,4500,0,0,Walk,2018-10-29T11:30:00Z,FALSE,TRUE,g3154106,1.788,3.99964872,0,0,,,,,,
CXB: SCC Saturday ♥️,66490,41.31497057,8293,9433,179,587.27036,Ride,2018-10-27T11:34:25Z,FALSE,FALSE,b1477130,8.018,17.93578492,14.1,31.540854,84.7,208.3,,,835,22
RDB: final London ride for awhile - thanks Gunnar!,53147.6,33.02438758,8118,8602,295,967.8478,Ride,2018-10-21T08:47:00Z,FALSE,FALSE,b258301,6.547,14.64524618,12.4,27.738056,,113.1,,,,12
RDB: SCC Saturday shorty,48682,30.24959238,6103,6838,114,374.01576,Ride,2018-10-20T12:11:14Z,FALSE,FALSE,b1395475,7.977,17.84407038,14.8,33.106712,,166.8,,,,26
WBR 2 Laps Highline Race C: solid for 15:00,15002.4,9.322059174,1809,1837,250,820.21,VirtualRide,2018-10-19T15:15:14Z,FALSE,FALSE,b1477130,8.293,18.55094342,19.9,44.515106,80.5,215.4,,,442,
